,rider_id,no_of_orders,age,average_rating,no_of_ratings
143,393,3427,2385,14.2,1010
144,583,5169,1824,14.1,1067
145,919,526,989,14.4,187
146,79,2204,1129,14.0,517
147,661,3540,1218,13.4,848
148,623,4013,2149,14.1,696
149,473,2690,2429,14.3,383
150,470,1571,1071,13.3,305
151,374,1985,1191,12.3,143
152,734,1938,1372,12.9,637
153,482,1415,1516,13.5,519
154,390,1225,2253,13.2,301
155,239,6856,2038,13.3,402
156,62,2072,1151,13.5,571
157,756,3556,2263,14.2,881
158,747,2236,1013,13.8,384
159,770,2311,872,14.1,533
160,555,4088,2257,14.1,799
161,520,1689,1811,14.0,334
162,786,6421,2043,14.2,2026
163,515,7142,2132,13.2,388
164,539,6926,2469,13.9,2008
165,202,9561,3697,13.9,1639
166,702,5703,2722,13.5,357
167,102,4146,1220,14.3,1149
168,467,2699,2287,13.7,668
169,301,369,892,12.8,79
170,320,3516,1494,14.1,913
171,353,2173,1157,14.5,683
172,441,6724,2333,14.2,2046
173,927,2934,1441,14.2,448
174,621,2689,2019,14.0,1085
175,711,9418,3682,13.9,1547
176,898,356,925,14.2,77
177,499,946,1112,13.4,299
178,209,1899,1207,13.0,624
179,352,158,888,12.9,21
180,812,4402,1090,14.3,1301
181,148,4671,941,14.1,973
182,680,4418,2177,14.2,1423
183,192,439,1511,13.3,171
184,33,2354,1936,14.0,1153
185,938,1588,955,14.0,382
186,64,3506,2406,14.1,1007
187,909,2081,985,14.5,553
188,466,2147,1007,14.1,311
189,51,1040,1248,12.7,312
190,892,12,881,15.0,4
191,50,4345,1887,14.2,986
192,4,4505,1377,13.9,1182
193,327,254,881,13.5,34
194,832,3616,2094,14.2,913
195,726,1337,875,14.2,243
196,167,2362,891,14.4,438
197,956,4847,901,14.1,902
198,890,317,876,13.5,58
199,334,176,879,14.9,46
200,656,3015,1368,14.3,527
201,281,4712,1109,14.1,1015
202,480,61,880,13.4,27
203,858,4761,1120,14.1,1010
204,735,407,875,14.1,108
205,474,225,878,14.1,66
206,455,1340,2075,13.5,300
207,687,4859,2360,14.0,878
208,116,705,874,14.3,176
209,144,98,881,15.0,28
210,329,4890,1103,14.1,1011
211,286,8948,2185,14.0,1241
212,844,517,874,13.7,157
213,417,5,875,0.0,1
214,893,1698,1649,14.2,701
215,932,1434,1111,14.1,257
216,888,82,880,13.0,24
217,134,472,1251,14.0,178
218,444,108,880,13.1,34
219,598,4351,1400,13.9,1270
220,284,2931,1170,14.2,586
221,186,40,880,14.7,21
222,423,2479,1712,14.0,1075
223,755,1599,1112,12.3,339
224,561,1926,1327,12.9,620
225,845,3431,1512,14.2,1073
226,412,2136,2989,14.3,230
227,808,228,872,14.2,90
228,360,126,874,12.4,33
229,87,566,873,13.4,64
230,846,2252,2978,14.4,322
231,88,1450,872,13.8,329
232,5,1392,3397,13.5,291
233,366,1941,1700,14.2,687
234,46,2224,3051,14.4,317
235,941,1944,1745,14.2,701
236,71,6609,2298,14.2,1939
237,40,4618,1470,13.9,1343
238,752,342,875,13.8,133
239,260,5421,2059,13.6,1288
240,208,779,873,14.2,89
241,24,6695,2109,14.2,1874
242,228,4239,1658,14.2,913
243,795,2719,2326,13.7,681
244,852,379,866,13.3,133
245,908,370,1514,13.5,121
246,517,4549,1226,13.9,1199
247,351,5584,2269,13.7,1286
248,37,2485,2286,14.6,640
249,494,248,1393,13.5,92
250,870,1399,1361,13.4,317
251,140,149,859,14.5,45
252,259,4176,2014,14.2,1027
253,672,3124,2080,13.9,1215
254,322,586,856,13.1,98
255,83,517,1390,13.5,217
256,215,2110,1225,13.8,491
257,222,854,1252,13.6,201
258,354,1130,1715,13.3,303
259,574,1753,1011,13.8,472
260,925,6868,2489,13.9,2104
261,434,2669,2280,13.7,629
262,224,2398,1942,14.0,1079
263,200,8068,2789,13.8,1372
264,616,221,846,13.8,58
265,526,1629,1230,13.4,425
266,407,2847,2362,13.7,640
267,820,118,1111,12.6,33
268,536,1926,994,13.8,482
269,302,44,874,15.0,2
270,445,6815,2455,13.9,2149
271,714,4695,2158,14.0,895
272,635,34,840,14.2,14
273,31,1402,1443,13.6,258
274,212,84,847,14.5,22
275,615,1239,1113,14.4,391
276,431,101,841,12.3,28
277,107,2034,1234,13.8,552
278,905,2241,2809,14.3,313
279,861,3036,2447,13.2,1200
280,614,5664,2014,13.6,1264
281,49,4881,1990,14.5,686
282,498,1421,1111,13.3,267
283,851,99,831,14.4,28
284,333,2993,1314,14.3,532
285,235,9756,3764,13.9,1534
286,804,2131,1184,14.5,589
287,636,106,827,13.7,37
288,802,199,833,13.9,26
289,185,9140,2323,13.9,1256
290,427,903,824,14.0,122
291,584,3064,1010,14.1,700
292,330,4860,1707,14.1,1174
293,744,638,878,14.0,173
294,442,9543,3416,13.9,1569
295,465,942,878,14.5,222
296,638,102,873,13.7,32
297,579,2641,1250,13.3,468
298,21,179,810,15.0,22
299,86,1133,2006,14.1,178
300,252,3705,2634,14.4,1155
301,738,2849,2506,14.2,427
302,840,2775,2575,14.2,522
303,288,225,802,14.2,52
304,585,2653,2252,14.4,653
305,326,385,805,13.5,72
306,272,2998,993,14.1,678
307,476,2672,2336,13.9,888
308,939,127,861,13.6,34
309,951,284,790,13.9,58
310,238,7921,2591,13.8,1364
311,833,1391,1112,14.0,336
312,914,3969,2311,14.2,722
313,629,550,840,13.9,114
314,917,2903,1385,13.9,951
315,232,2862,2168,14.0,1076
316,514,2296,2066,13.9,852
317,642,2752,2661,14.3,445
318,872,423,1247,14.2,187
319,234,140,3125,14.8,28
320,799,2820,1528,12.6,735
321,121,5233,2170,14.0,1549
322,806,26,772,14.3,16
323,519,1591,801,14.1,187
324,384,124,771,15.0,27
325,18,5190,2201,14.0,1459
326,415,766,1210,14.1,218
327,180,178,771,14.0,52
328,253,2330,679,13.7,273
329,722,350,768,12.6,81
330,313,198,800,13.3,56
331,639,9,770,15.0,4
332,848,1043,771,14.1,76
333,532,1155,824,13.0,158
334,145,1076,772,13.0,46
335,764,2644,691,13.7,316
336,903,2493,902,13.7,285
337,670,128,763,14.2,29
338,194,2357,813,14.4,406
339,550,1988,1206,13.5,600
340,456,1693,1110,13.5,219
341,174,92,759,14.2,29
342,634,2414,946,13.7,299
343,283,1909,995,13.5,602
344,399,2567,635,14.4,328
345,398,197,2493,11.2,42
346,142,204,1477,13.5,41
347,229,284,758,14.6,82
348,439,1909,1153,13.5,555
349,754,682,744,14.5,119
350,659,4608,2266,14.0,847
351,343,3654,876,14.2,588
352,857,583,742,13.7,52
353,849,2668,956,14.4,453
354,250,2583,705,13.7,288
355,836,161,742,11.6,29
356,933,3516,569,14.3,482
357,447,492,740,13.9,47
358,882,730,740,13.8,71
359,273,33,738,15.0,2
360,387,705,740,14.1,111
361,452,570,741,14.0,98
362,307,2374,2125,13.7,501
363,19,1645,739,13.6,178
364,263,3333,892,14.2,505
365,414,420,734,14.8,55
366,877,2687,2127,14.4,672
367,182,4305,1794,13.7,1242
368,700,84,730,12.0,15
369,462,1850,998,14.4,360
370,471,43,735,13.2,17
371,85,3604,820,14.2,586
372,293,3187,1538,14.3,1048
373,402,940,984,13.0,102
374,595,3544,1285,14.3,1024
375,548,998,733,14.6,130
376,96,713,726,14.8,66
377,400,461,770,14.6,83
378,12,2399,2466,13.7,591
379,666,1328,1444,12.9,511
380,450,3322,1317,14.3,1156
381,674,3451,635,14.3,495
382,179,532,740,14.0,44
383,946,2336,2184,13.7,524
384,82,2618,2346,13.7,603
385,622,1465,719,14.3,130
386,213,135,726,14.6,14
387,419,4971,1915,14.1,1378
388,249,191,713,14.0,29
389,592,70,714,15.0,16
390,308,1423,1272,13.6,451
391,578,874,1393,13.7,215
392,552,15,698,0.0,0
393,54,226,796,13.7,32
394,240,1541,1243,13.7,442
395,361,2629,1700,14.2,796
396,810,135,677,14.3,8
397,748,3506,2557,14.0,157
398,822,4383,2066,14.3,880
399,566,4585,2107,14.3,978
400,453,330,678,14.4,29
401,611,235,740,13.5,24
402,328,635,674,12.0,35
403,818,5036,1919,14.6,599
404,231,2473,1379,14.3,739
405,117,744,1806,13.8,272
406,647,1730,1075,13.8,236
407,365,2038,1817,14.3,397
408,811,5202,2203,14.5,590
409,655,2049,1222,13.9,712
410,336,1937,1955,14.3,454
411,464,2773,1552,12.6,801
412,704,730,1113,14.4,156
413,934,56,672,11.1,7
414,736,314,2673,14.2,22
415,537,517,2275,11.3,9
416,707,9038,2365,13.9,1244
417,295,5217,2237,14.5,667
418,413,3149,2172,13.9,1187
419,189,532,730,14.7,72
420,847,981,2301,13.7,178
421,713,96,650,15.0,10
422,516,3650,1906,14.2,1185
423,172,2914,1556,14.2,925
424,612,730,642,14.0,80
425,503,5757,1799,14.2,2298
426,731,483,645,13.5,31
427,785,1988,1676,14.3,421
428,565,225,636,13.2,20
429,38,721,635,14.4,69
430,632,82,644,15.0,7
431,156,2067,1745,14.3,547
432,383,2412,787,14.3,309
433,72,2584,854,14.2,304
434,405,4380,2363,14.3,972
435,504,2769,2305,14.4,573
436,703,1785,818,14.4,499
437,137,2008,2292,12.9,364
438,39,7204,1909,13.3,354
439,871,3189,1415,14.3,1045
440,41,2266,2262,13.0,257
441,640,1975,1611,14.3,639
442,750,2112,2063,14.4,872
443,817,2322,966,14.4,314
444,496,5359,1895,14.1,1411
445,125,1995,967,13.9,657
446,607,2385,525,14.3,433
447,337,1985,1052,13.9,634
448,10,6978,1990,13.3,413
449,403,2016,2382,13.0,390
450,11,5491,1780,14.2,1420
451,597,2027,2408,14.4,773
452,178,2684,788,14.2,343
453,282,1879,2336,14.4,780
454,497,2056,206,15.2,197
455,743,4486,1529,13.7,1393
456,81,2436,1428,14.2,728
457,472,2178,2409,12.9,347
458,254,5534,1643,14.2,1517
459,63,933,907,13.2,228
460,190,3920,2224,14.5,813
461,730,2545,2147,14.3,557
462,43,2411,1245,14.3,645
463,391,2516,1839,14.1,856
464,257,4324,1530,13.7,1339
465,70,2087,2411,12.9,371
466,120,3462,1565,14.3,1015
467,619,7056,2047,13.3,411
468,191,2538,1065,14.3,712
469,593,1003,782,12.9,148
470,662,127,601,14.1,12
471,420,3840,1886,14.2,1149
472,829,1255,593,14.5,93
473,368,289,754,14.9,41
474,29,2789,2302,14.0,1082
475,533,1535,650,14.6,75
476,299,557,588,14.4,69
477,274,1760,2088,14.1,518
478,562,2913,2253,14.0,1062
479,568,83,586,10.8,14
480,775,153,584,14.4,20
481,646,156,587,15.0,9
482,518,637,1069,13.8,45
483,22,50,581,15.0,7
484,303,3159,1055,13.5,742
485,823,1703,1590,14.2,740
486,477,877,901,13.5,124
487,649,1751,618,13.8,310
488,897,2,576,0.0,1
489,952,1687,548,13.8,297
490,69,106,586,15.0,7
491,854,1830,585,13.7,321
492,876,2718,1160,13.7,460
493,878,429,577,13.0,13
494,675,751,576,14.2,62
495,108,2385,1276,13.3,559
496,708,1819,707,13.7,371
497,1,8,589,0.0,1
498,559,334,581,14.2,31
499,926,2935,1102,13.7,344
500,210,1608,1806,13.5,626
501,880,1212,2245,13.4,197
502,436,1202,576,13.4,105
503,796,4187,2159,14.2,1146
504,128,3316,2372,14.0,182
505,112,305,643,14.5,49
506,684,7589,2741,14.9,139
507,866,145,580,15.0,4
508,928,1242,623,14.0,106
509,237,788,572,14.2,72
510,171,117,571,12.0,6
511,184,99,570,14.1,7
512,660,1062,573,13.2,100
513,416,4916,1641,14.1,1366
514,587,4482,2237,13.8,1196
515,287,1130,2253,13.4,110
516,596,1633,1719,13.9,521
517,867,32,587,0.0,0
518,370,4353,2201,13.8,1247
519,32,5003,1863,14.4,1983
520,712,5032,1838,14.1,1515
521,936,8296,2715,13.7,1394
522,485,3112,2686,13.9,642
523,487,5006,1632,14.1,1490
524,289,950,1357,14.0,260
525,157,5588,2638,13.5,200
526,490,5098,1850,14.4,1971
527,451,3323,1170,13.5,718
528,774,3178,830,13.5,759
529,935,4156,2088,14.2,1037
530,783,1975,1125,13.9,557
531,889,3844,2258,13.6,1139
532,359,2118,2406,14.2,207
533,97,5694,2419,13.5,298
534,380,2986,2846,13.9,568
535,469,3300,938,13.6,624
536,551,2107,1128,13.5,461
537,573,1773,2252,14.3,241
538,114,288,556,13.7,27
539,715,5063,1853,14.1,1438
540,160,3335,2351,14.0,177
541,206,1376,557,13.7,165
542,630,2588,1285,13.3,576
543,588,8267,2528,13.7,1285
544,136,3795,1760,14.2,1182
545,781,1910,1546,14.2,607
546,164,3737,1884,14.2,1054
547,842,2035,964,13.9,560
548,143,1704,1658,14.3,686
549,769,2730,2118,14.4,666
550,793,2564,1217,13.3,629
551,626,4553,1792,13.7,1312
552,276,925,550,14.5,73
553,98,3526,2350,14.0,162
554,80,4213,2059,14.2,1025
555,699,737,2102,13.8,57
556,554,442,1375,13.2,80
557,884,1829,2489,14.3,224
558,199,1683,2300,13.9,300
559,30,446,580,13.9,37
560,902,224,1083,13.8,38
561,685,487,560,13.7,44
562,230,7680,2476,14.9,147
563,187,3298,943,13.6,662
564,569,740,1393,13.5,121
565,913,4036,2119,14.4,700
566,807,3267,1614,13.5,708
567,130,4026,1843,14.2,1148
568,395,2483,1664,12.7,635
569,859,2428,1940,13.9,970
570,375,444,1113,13.4,165
571,958,1907,530,13.8,305
572,331,4048,1844,14.2,1078
573,315,1963,1091,13.9,576
574,356,2166,2110,14.3,922
575,920,648,2157,13.7,18
576,803,2462,1067,13.4,631
577,244,686,718,13.9,64
578,381,5055,1882,14.4,2053
579,879,2345,921,14.5,642
580,509,5477,1743,14.2,2184
581,718,1969,791,14.4,437
582,57,4923,1651,14.4,2018
583,911,3197,1455,13.6,683
584,227,2841,1417,14.2,791
585,512,152,587,13.5,13
586,625,1220,1386,14.0,492
587,719,23,530,13.5,8
588,93,4334,1647,13.8,1310
589,110,3229,2406,13.2,1167
590,501,1809,1043,14.1,423
591,778,825,531,14.2,74
592,528,5770,1793,14.2,2205
593,66,27,1027,13.5,4
594,557,2168,941,14.1,409
595,839,1909,937,14.1,461
596,828,2880,953,13.8,346
597,717,5178,1942,14.5,557
598,558,778,2499,13.5,120
599,258,2734,1192,13.8,535
600,547,970,3251,13.3,53
601,401,3289,1706,13.6,642
602,931,2611,1250,13.8,479
603,458,1998,777,14.4,418
604,457,827,1581,13.8,132
605,195,2015,1225,14.1,312
606,317,3109,2446,13.2,1145
607,386,4191,1964,14.3,1061
608,242,2822,1903,13.8,712
609,725,680,2890,13.9,27
610,138,182,497,15.0,21
611,362,1018,504,13.1,87
612,523,928,494,14.3,43
613,404,1034,495,14.6,63
614,627,2086,1744,14.3,655
615,575,3679,2149,14.4,699
616,113,538,1516,13.4,234
617,679,3510,1992,13.5,1312
618,53,241,1109,13.7,73
619,511,152,496,15.0,5
620,205,1275,497,14.8,119
621,609,70,495,15.0,6
622,794,3765,2359,13.6,1129
623,14,47,488,12.0,4
624,28,7842,2498,14.9,99
625,150,179,493,15.0,3
626,364,1914,2519,14.3,326
627,454,81,491,14.7,19
628,918,39,488,6.0,2
629,267,523,491,12.8,40
630,667,4,488,0.0,1
631,677,35,487,15.0,3
632,741,254,483,14.1,18
633,723,558,1510,14.1,193
634,382,175,483,15.0,2
635,175,1734,1576,14.2,756
636,48,625,479,13.6,38
637,90,3206,1690,13.5,799
638,332,397,476,15.0,34
639,560,2469,1652,14.1,817
640,23,3288,2524,13.2,1129
641,527,1782,2145,14.5,406
642,697,314,473,13.8,29
643,819,383,474,14.2,52
644,665,2587,1859,12.6,723
645,899,318,480,14.7,19
646,428,202,490,15.0,12
647,853,3640,1893,13.5,1236
648,47,29,463,0.0,0
649,300,574,463,12.3,41
650,26,833,460,13.1,67
651,323,53,790,15.0,9
652,721,3918,2363,13.6,1168
653,325,3399,1869,13.5,1270
654,75,411,460,14.3,56
655,25,613,460,12.5,65
656,728,914,452,13.9,69
657,576,1486,454,14.2,151
658,440,1871,2224,14.3,158
659,746,2442,2163,14.4,552
660,342,3429,2245,13.5,1299
661,220,9,452,0.0,1
662,52,216,449,14.0,23
663,915,2794,1616,12.7,696
664,275,364,449,14.1,19
665,73,3240,2064,13.9,1107
666,489,256,449,15.0,16
667,831,1035,446,12.6,93
668,862,201,448,15.0,10
669,594,3068,2084,14.0,1108
670,424,3305,1757,13.5,645
671,664,2818,2624,14.3,433
672,534,117,462,15.0,3
673,901,2186,1131,13.9,570
674,957,11,419,0.0,1
675,809,1945,1003,14.0,447
676,768,5072,1821,14.4,2011
677,505,2490,2025,14.4,612
678,357,1008,1527,13.6,362
679,418,329,413,14.3,34
680,246,193,435,13.3,15
681,111,2079,1097,14.0,582
682,319,7671,2706,14.9,103
683,800,1188,2154,13.2,154
684,801,329,409,14.1,27
685,269,721,409,13.8,60
686,443,3504,2234,14.6,1086
687,15,2316,873,13.9,552
688,553,3670,2015,13.5,1193
689,873,3515,2286,14.6,1042
690,837,37,398,11.1,6
691,691,249,399,14.8,23
692,346,2396,1860,14.4,594
693,296,3264,2005,13.9,1278
694,197,3067,1988,13.8,1039
695,530,1947,1531,14.3,663
696,513,178,490,13.0,24
697,686,799,410,13.2,46
698,758,81,385,15.0,18
699,377,484,381,13.5,59
700,104,215,2012,15.0,6
701,34,20,378,15.0,5
702,556,4,378,0.0,1
703,277,148,376,14.6,14
704,601,27,377,15.0,4
705,772,99,550,15.0,8
706,540,134,378,13.7,22
707,869,1972,1111,12.9,654
708,696,37,370,13.5,8
709,468,355,371,14.1,36
710,860,5,448,15.0,2
711,311,192,368,14.4,11
712,953,1270,367,14.4,131
713,225,28,366,11.1,7
714,825,2009,1760,14.0,668
715,433,27,362,13.5,5
716,426,2113,1875,14.0,668
717,411,903,356,14.2,108
718,590,202,355,14.8,30
719,605,57,379,14.3,8
720,0,3048,2570,14.0,512
721,959,275,379,13.7,26
722,947,65,379,3.0,6
723,645,4317,2061,13.7,1094
724,863,913,354,13.6,89
725,168,708,357,12.9,59
726,887,5,352,15.0,3
727,776,2158,1891,14.1,694
728,91,2069,2103,14.0,649
729,198,3009,1922,13.8,884
730,883,282,353,14.0,23
731,681,2572,1684,14.2,818
732,678,292,349,15.0,39
733,767,239,2699,11.1,6
734,488,2439,1985,14.4,656
735,603,88,338,11.1,6
736,483,53,339,15.0,13
737,152,63,338,15.0,5
738,339,20,338,15.0,3
739,856,396,339,13.6,69
740,724,41,340,15.0,7
741,448,1220,339,14.6,119
742,378,298,336,14.1,31
743,545,130,339,14.4,10
744,8,497,341,14.1,103
745,824,55,338,12.9,14
746,169,13,329,15.0,2
747,461,60,339,15.0,14
748,262,99,2282,15.0,5
749,385,2440,2190,14.4,544
750,430,2825,1990,13.8,655
751,154,197,328,13.7,19
752,372,77,328,13.5,16
753,955,2595,1943,13.8,746
754,127,264,338,12.6,21
755,389,3219,2111,14.0,1230
756,459,326,321,13.3,39
757,797,1898,2386,14.7,431
758,341,467,315,13.3,58
759,61,419,312,13.3,61
760,922,7717,2642,14.9,83
761,348,3074,2166,13.8,894
762,688,28,307,15.0,7
763,830,903,1992,14.6,254
764,716,20,306,15.0,6
765,885,192,308,13.2,21
766,17,24,307,15.0,4
767,529,3,307,0.0,1
768,599,3117,2255,13.7,878
769,44,9,307,0.0,1
770,291,1209,305,14.1,145
771,59,32,336,0.0,1
772,245,643,307,13.9,58
773,564,626,307,13.5,54
774,318,293,305,14.5,36
775,563,15,309,15.0,5
776,604,13,300,0.0,0
777,657,18,308,0.0,0
778,763,235,307,13.7,27
779,278,36,296,12.0,3
780,814,4767,1943,14.1,1451
781,106,958,307,13.2,99
782,119,1208,300,14.3,139
783,118,150,296,14.7,30
784,653,576,1822,12.7,159
785,76,847,297,14.0,108
786,373,2639,2173,13.8,663
787,701,19,298,12.0,3
788,787,389,297,13.6,30
789,99,435,301,13.5,73
790,349,615,341,14.7,30
791,181,34,291,15.0,5
792,392,2011,2350,14.7,374
793,690,505,580,14.1,40
794,132,104,302,9.8,9
795,305,6,294,0.0,1
796,309,274,293,14.9,36
797,495,62,297,15.0,6
798,709,1023,294,14.2,145
799,463,38,292,7.8,10
800,314,201,306,12.6,21
801,177,526,286,13.6,70
802,58,2527,1908,14.1,909
803,367,621,2196,11.1,21
804,732,317,1821,13.5,97
805,682,132,291,13.0,19
806,855,886,283,14.5,113
807,600,1875,1817,14.0,822
808,233,333,286,13.7,46
809,218,187,285,14.2,15
810,628,117,278,14.4,18
811,652,129,272,11.8,23
812,759,15,337,15.0,2
813,170,4628,2255,14.0,1506
814,954,11,276,0.0,0
815,683,17,273,15.0,6
816,613,365,269,13.8,40
817,376,30,292,0.0,1
818,484,432,271,13.8,62
819,126,261,270,13.5,29
820,816,2466,3114,15.1,142
821,506,191,278,14.7,19
822,780,4,269,0.0,0
823,907,582,273,13.2,42
824,129,25,278,15.0,6
825,943,41,269,12.0,10
826,868,488,273,14.4,45
827,841,2204,2871,15.1,31
828,135,2447,2786,15.1,198
829,20,201,271,13.7,19
830,306,228,268,15.0,30
831,910,398,266,14.0,29
832,784,2311,2824,15.2,16
833,460,9,259,13.5,5
834,94,3120,2671,13.2,1125
835,77,25,256,13.0,6
836,292,49,255,15.0,5
837,166,173,253,13.5,16
838,524,48,256,15.0,5
839,507,209,254,14.5,22
840,500,15,251,13.5,5
841,7,339,250,14.3,46
842,843,583,252,15.0,58
843,435,343,251,14.7,30
844,508,172,252,13.7,22
845,740,97,250,13.8,10
846,850,32,242,12.0,3
847,92,563,251,14.7,41
848,760,76,252,15.0,7
849,693,24,240,0.0,0
850,204,456,240,14.5,42
851,155,1023,242,12.5,114
852,161,718,237,14.0,83
853,695,89,236,13.5,8
854,438,557,239,14.6,55
855,394,162,237,15.0,14
856,570,222,238,13.2,26
857,790,271,236,14.7,32
858,525,10,307,0.0,1
859,324,68,231,0.0,0
860,344,396,231,13.9,38
861,316,3,231,0.0,1
862,151,38,230,15.0,3
863,710,154,225,15.0,9
864,835,3001,2195,13.7,942
865,251,9,226,0.0,1
866,363,44,220,13.5,8
867,193,385,225,14.8,48
868,641,44,220,15.0,3
869,572,262,222,12.9,20
870,815,534,218,14.1,49
871,422,312,222,13.2,37
872,68,311,214,14.8,29
873,924,27,216,15.0,5
874,388,16,220,15.0,2
875,705,49,221,14.3,8
876,214,226,2189,15.0,74
877,211,731,198,13.3,54
878,921,510,198,14.3,56
879,13,3108,3237,14.2,469
880,950,8,210,15.0,3
881,3,32,194,9.0,3
882,792,18,195,3.0,2
883,864,393,207,14.8,28
884,141,2988,3543,14.2,553
885,624,314,184,14.1,24
886,930,282,184,12.8,17
887,538,308,182,14.1,25
888,591,679,183,13.5,61
889,9,2265,3101,15.1,31
890,745,3,172,0.0,0
891,78,33,183,0.0,1
892,165,487,1579,13.4,188
893,298,82,182,13.5,17
894,694,31,212,15.0,2
895,502,85,178,14.3,8
896,256,28,169,11.1,7
897,567,116,175,12.6,10
898,689,130,167,15.0,9
899,491,220,167,14.7,30
900,582,369,170,13.2,40
901,945,1795,2542,14.7,442
902,183,213,167,15.0,27
903,27,166,160,14.9,32
904,617,42,159,15.0,4
905,610,36,150,15.0,7
906,158,536,157,13.7,55
907,821,94,155,14.6,15
908,369,200,156,13.3,15
909,2,455,152,13.6,51
910,602,62,149,6.0,4
911,321,17,152,0.0,0
912,163,889,2817,0.0,0
