,order_id,user_id,platform,personal_or_business,placement_date,placement_weekday,placement_time,confirm_date,confirm_weekday,confirm_time,arrival_pickup_date,arrive_pickup_weekday,arrive_time,pickup_date,pickup_weekday,pickup_time,arrival_dest_date,arrival_dest_weekday,arrival_dest_time,distance,temperature,pickup_lat,pickup_long,dest_lat,dest_long,rider_id,pickup_to_arrival_time,placement_to_confirm_time,confirm_to_pickup_time
12,7842,1990,3,Business,23,4,52662,23,4,52740,23,4,53367,23,4,54117,23,4,56759,10,24.6,-1.2558721,36.722296,-1.275442,36.7660207,868,2642,78,1377
13,6452,3295,3,Business,25,5,33128,25,5,33248,25,5,33293,25,5,34054,25,5,36958,21,20.9,-1.2571472,36.7950633,-1.3908674,36.7674236,536,2904,120,806
14,9463,248,3,Business,23,4,36304,23,4,36349,23,4,37071,23,4,37625,23,4,38032,1,23.25888921888938,-1.304735,36.7846054,-1.2993231,36.7753372,607,407,45,1276
15,21335,3599,3,Business,2,4,45230,2,4,46343,2,4,47877,2,4,49105,2,4,51011,13,23.25888921888938,-1.3302996,36.8707935,-1.2644742,36.8083457,427,1906,1113,2762
16,21307,198,3,Business,19,3,43075,19,3,43087,19,3,43673,19,3,44132,19,3,46440,17,23.25888921888938,-1.3396256,36.8863135,-1.2705297,36.7987172,265,2308,12,1045
17,8201,1500,3,Business,15,2,41668,15,2,41748,15,2,44398,15,2,44708,15,2,47347,13,24.4,-1.2574219,36.7927073,-1.3228003,36.8306435,725,2639,80,2960
18,11630,391,3,Business,14,3,33130,14,3,40917,14,3,41462,14,3,41611,14,3,43181,5,24.4,-1.2599563,36.7993439,-1.2867454,36.8259017,436,1570,7787,694
19,19866,3722,1,Personal,28,2,51173,28,2,51295,28,2,52942,28,2,53407,28,2,57627,5,19.4,-1.2872899,36.820434,-1.2898354,36.7872703,447,4220,122,2112
20,23338,1960,3,Personal,12,2,36251,12,2,37585,12,2,38492,12,2,38692,12,2,39804,7,20.8,-1.3023756,36.7949276,-1.2574088,36.799712,366,1112,1334,1107
21,14810,3698,3,Business,22,3,38539,22,3,38559,22,3,40469,22,3,40538,22,3,42662,24,23.3,-1.3244885,36.897792,-1.3107918,36.761794,856,2124,20,1979
22,12412,1362,1,Personal,10,4,70052,10,4,70073,10,4,71177,10,4,71349,10,4,72837,11,18.1,-1.2627555,36.7929553,-1.2105984,36.8109774,881,1488,21,1276
23,663,1404,2,Personal,11,5,36194,11,5,36249,11,5,37581,11,5,38125,11,5,39529,10,20.8,-1.3211235,36.7765164,-1.2869041,36.8240057,338,1404,55,1876
24,4818,2030,3,Business,11,2,56313,11,2,56528,11,2,57017,11,2,57197,11,2,60814,3,22.5,-1.2969741,36.7856612,-1.295908,36.791433,596,3617,215,669
25,8816,346,3,Business,3,3,43930,3,3,44009,3,3,46060,3,3,46368,3,3,48974,13,27.2,-1.2859912,36.8756811,-1.28878,36.8168312,76,2606,79,2359
26,17338,1582,1,Business,5,5,52947,5,5,53142,5,5,53997,5,5,54116,5,5,55265,5,26.5,-1.2735999,36.8218131,-1.2508229,36.7895263,407,1149,195,974
27,12130,627,3,Business,19,2,44922,19,2,44966,19,2,45055,19,2,45727,19,2,47458,17,27.3,-1.2551895,36.7822034,-1.3339943,36.7263409,630,1731,44,761
28,21312,3560,3,Business,14,3,50006,14,3,51401,14,3,51954,14,3,52090,14,3,55331,9,25.6,-1.279395,36.825364,-1.3242351,36.8202498,237,3241,1395,689
29,13398,2383,3,Business,28,3,30787,28,3,30801,28,3,31058,28,3,31510,28,3,32223,1,20.5,-1.2608993,36.799246,-1.263194,36.797624,407,713,14,709
30,13031,1346,3,Business,10,1,55589,10,1,55610,10,1,56869,10,1,57131,10,1,59352,20,18.8,-1.2917868,36.7872675,-1.3700383,36.9190174,622,2221,21,1521
31,17028,3184,3,Business,12,2,32659,12,2,32726,12,2,34971,12,2,35396,12,2,38362,11,16.1,-1.3067663,36.8438792,-1.3457877,36.8811894,302,2966,67,2670
32,15792,909,3,Business,17,3,58127,17,3,58698,17,3,59203,17,3,59778,17,3,61601,12,23.25888921888938,-1.225322,36.80855,-1.290894,36.822971,634,1823,571,1080
33,4861,3291,3,Business,22,2,58627,22,2,58673,22,2,59237,22,2,60476,22,2,61960,12,25.3,-1.228911,36.881876,-1.2600926,36.8088685,75,1484,46,1803
34,1211,3222,3,Business,13,4,52953,13,4,53034,13,4,53629,13,4,53893,13,4,54713,3,22.3,-1.2551895,36.7822034,-1.2676026,36.8103629,523,820,81,859
35,5857,788,3,Business,8,5,61268,8,5,61352,8,5,61633,8,5,61917,8,5,63546,7,25.3,-1.2584143,36.8048002,-1.225322,36.80855,903,1629,84,565
36,9676,393,3,Business,28,1,42443,28,1,46914,28,1,46928,28,1,48948,28,1,48950,4,26.3,-1.3167113,36.8301563,-1.3004062,36.829741,619,2,4471,2034
37,27859,142,3,Business,30,3,47849,30,3,47891,30,3,48527,30,3,48852,30,3,50234,8,29.2,-1.2570328,36.7869744,-1.2963097,36.7688221,328,1382,42,961
38,20416,1015,1,Personal,7,1,57681,7,1,58781,7,1,60106,7,1,61505,7,1,63489,9,20.0,-1.3331402,36.8925275,-1.3793096,36.9310421,521,1984,1100,2724
39,21067,1245,3,Business,14,4,30904,14,4,30970,14,4,31355,14,4,32116,14,4,34057,16,18.0,-1.2602337,36.7990548,-1.3198615,36.7110323,427,1941,66,1146
40,15011,2634,3,Business,31,5,41197,31,5,41346,31,5,41353,31,5,41596,31,5,44227,21,21.6,-1.2963097,36.7688221,-1.3160977,36.9131642,330,2631,149,250
41,18612,379,1,Personal,7,2,50363,7,2,50394,7,2,51822,7,2,52744,7,2,56549,8,24.8,-1.2655332,36.8094648,-1.2729217,36.7624829,229,3805,31,2350
42,4889,2869,3,Business,24,3,61048,24,3,61079,24,3,62171,24,3,64310,24,3,66397,16,23.25888921888938,-1.225322,36.80855,-1.3025826,36.7670807,484,2087,31,3231
43,27861,407,2,Personal,27,4,47754,27,4,47806,27,4,48082,27,4,48415,27,4,49955,21,23.0,-1.301796,36.8012024,-1.3533402,36.9078924,844,1540,52,609
44,2363,2869,3,Business,3,3,51109,3,3,51394,3,3,52627,3,3,52940,3,3,55066,9,28.1,-1.3025826,36.7670807,-1.2551895,36.7822034,477,2126,285,1546
45,13052,250,2,Personal,16,4,40786,16,4,40852,16,4,41586,16,4,41675,16,4,42303,2,14.7,-1.2642903,36.8002137,-1.269534,36.80697,650,628,66,823
46,14365,3641,3,Business,26,2,51749,26,2,53133,26,2,53395,26,2,53566,26,2,55085,8,23.25888921888938,-1.2551895,36.7822034,-1.2998903,36.8179213,726,1519,1384,433
47,16595,1119,1,Personal,27,4,54560,27,4,55510,27,4,57235,27,4,57327,27,4,59499,18,25.0,-1.3832336,36.7647372,-1.3208162,36.8451209,676,2172,950,1817
48,12932,2102,3,Business,18,1,44982,18,1,44995,18,1,45493,18,1,45800,18,1,47485,15,26.7,-1.3323107,36.8692616,-1.2613768,36.8019418,650,1685,13,805
49,10939,1976,3,Business,7,2,39953,7,2,40055,7,2,40314,7,2,40554,7,2,42171,12,23.25888921888938,-1.257028,36.7810435,-1.3073569,36.8202163,647,1617,102,499
50,1131,2761,3,Personal,21,5,39277,21,5,39349,21,5,40249,21,5,40356,21,5,41997,11,23.0,-1.3038645,36.8684596,-1.2950041,36.8143583,675,1641,72,1007
51,15298,3686,3,Business,9,3,36682,9,3,36687,9,3,36692,9,3,37040,9,3,39069,19,17.6,-1.255956,36.789867,-1.334474,36.88389,771,2029,5,353
52,27809,3326,3,Business,13,4,58565,13,4,58583,13,4,61803,13,4,62081,13,4,62085,3,22.7,-1.2551895,36.7822034,-1.256522,36.7864132,536,4,18,3498
53,25221,3222,3,Business,27,3,34858,27,3,34920,27,3,35440,27,3,35757,27,3,36812,8,23.25888921888938,-1.2551895,36.7822034,-1.2964348,36.8182757,953,1055,62,837
54,22790,1271,3,Business,17,2,47226,17,2,47256,17,2,48282,17,2,48349,17,2,50184,28,19.2,-1.3244885,36.897792,-1.3107918,36.761794,650,1835,30,1093
55,310,893,3,Business,14,5,46163,14,5,52489,14,5,54648,14,5,54775,14,5,56868,8,23.9,-1.2663194,36.809901,-1.2985153,36.7876043,441,2093,6326,2286
56,14114,909,3,Business,5,5,47135,5,5,47166,5,5,47533,5,5,48232,5,5,50130,10,24.7,-1.225322,36.80855,-1.2653185,36.8358841,108,1898,31,1066
57,7973,3730,2,Personal,15,1,44541,15,1,44562,15,1,46190,15,1,46673,15,1,47814,8,23.25888921888938,-1.3929709,36.7504644,-1.3440693,36.7518442,328,1141,21,2111
58,17495,2982,3,Business,8,5,37071,8,5,37098,8,5,37516,8,5,38586,8,5,41413,18,28.2,-1.300921,36.828195,-1.177202,36.8351183,519,2827,27,1488
59,7925,113,1,Business,10,5,39215,10,5,39219,10,5,39625,10,5,39792,10,5,41012,8,19.1,-1.2844653,36.8206676,-1.2963097,36.7688221,229,1220,4,573
60,24544,1051,3,Business,19,1,35143,19,1,38099,19,1,38309,19,1,39996,19,1,42343,8,24.6,-1.2891922,36.825189,-1.2963097,36.7688221,462,2347,2956,1897
61,8642,20,3,Business,1,3,39493,1,3,39563,1,3,39937,1,3,40456,1,3,41294,2,20.1,-1.2628638,36.8070399,-1.263419,36.8060348,208,838,70,893
62,24325,2069,3,Business,27,3,39966,27,3,40039,27,3,41204,27,3,41504,27,3,42523,9,26.3,-1.265715,36.823815,-1.228911,36.881876,269,1019,73,1465
63,12251,1976,3,Business,15,6,34981,15,6,34996,15,6,35741,15,6,36197,15,6,37408,14,17.7,-1.326471,36.8487849,-1.257028,36.7810435,882,1211,15,1201
64,25240,517,3,Business,4,5,36496,4,5,36523,4,5,36716,4,5,37074,4,5,38370,11,17.3,-1.3167113,36.8301563,-1.2574219,36.7927073,523,1296,27,551
65,4994,3470,3,Business,8,3,63632,8,3,63764,8,3,63768,8,3,64333,8,3,68626,11,23.25888921888938,-1.28878,36.8168312,-1.2916953,36.8855273,61,4293,132,569
66,28233,1224,1,Personal,22,5,46124,22,5,46180,22,5,46367,22,5,47056,22,5,48013,3,21.9,-1.304033,36.7848695,-1.2923533,36.7883364,474,957,56,876
67,21811,2179,3,Business,7,4,37556,7,4,37580,7,4,38573,7,4,39137,7,4,39527,2,24.5,-1.2527958,36.8003131,-1.2571472,36.7950633,547,390,24,1557
68,28095,633,3,Business,16,3,52166,16,3,52229,16,3,53162,16,3,54099,16,3,54589,4,26.9,-1.3077869,36.8443207,-1.3004062,36.829741,188,490,63,1870
69,1297,893,3,Business,5,1,37272,5,1,37319,5,1,37513,5,1,37872,5,1,38866,9,18.4,-1.2594474,36.8089122,-1.2273124,36.8163603,101,994,47,553
70,27629,598,1,Business,21,1,63302,21,1,63377,21,1,64313,21,1,64528,21,1,67314,4,23.25888921888938,-1.2536797,36.7995085,-1.2653906,36.8134406,668,2786,75,1151
71,1210,435,3,Business,14,5,41273,14,5,41727,14,5,42553,14,5,43102,14,5,43949,7,22.0,-1.300921,36.828195,-1.3271684,36.8173021,76,847,454,1375
72,4354,959,2,Personal,18,4,46814,18,4,46882,18,4,48058,18,4,48708,18,4,50369,6,25.7,-1.281892,36.7834972,-1.2544802,36.8111822,565,1661,68,1826
73,17165,633,3,Business,6,3,40499,6,3,40517,6,3,41880,6,3,42090,6,3,42685,4,23.25888921888938,-1.3077869,36.8443207,-1.3004062,36.829741,448,595,18,1573
74,18585,867,3,Business,14,4,37403,14,4,37412,14,4,37425,14,4,38336,14,4,40298,15,23.7,-1.2991441,36.7528804,-1.3228003,36.8306435,39,1962,9,924
75,12918,2200,3,Business,18,2,48766,18,2,48789,18,2,49442,18,2,49866,18,2,52739,11,25.8,-1.2927792,36.9053492,-1.290894,36.822971,231,2873,23,1077
76,26182,1927,3,Business,14,1,56521,14,1,56743,14,1,57784,14,1,58255,14,1,59926,19,25.6,-1.2859912,36.8756811,-1.3404187,36.7614685,720,1671,222,1512
77,5424,1218,2,Personal,27,5,34056,27,5,35443,27,5,36780,27,5,36876,27,5,39118,19,16.2,-1.3605299,36.7579536,-1.2630828,36.8050538,194,2242,1387,1433
78,9322,970,3,Business,7,4,56043,7,4,56058,7,4,56511,7,4,56863,7,4,59590,19,31.0,-1.2571472,36.7950633,-1.3325582,36.7406697,401,2727,15,805
79,2401,478,3,Business,8,5,40598,8,5,40686,8,5,41150,8,5,41580,8,5,45605,15,28.2,-1.2551895,36.7822034,-1.3278522,36.8711134,147,4025,88,894
80,2393,393,3,Business,8,4,39507,8,4,39523,8,4,39528,8,4,40972,8,4,43890,14,26.2,-1.3177547,36.8303703,-1.306378,36.7519845,239,2918,16,1449
81,4823,2929,3,Business,11,2,42286,11,2,48696,11,2,48722,11,2,49866,11,2,49880,5,25.7,-1.269534,36.80697,-1.2551895,36.7822034,185,14,6410,1170
82,13324,824,1,Business,14,7,49796,14,7,49837,14,7,50804,14,7,50995,14,7,51674,8,28.6,-1.2248308,36.8012573,-1.207546,36.7913976,743,679,41,1158
83,27621,2956,3,Business,2,1,43867,2,1,44278,2,1,44640,2,1,44768,2,1,45569,5,19.3,-1.2584143,36.8048002,-1.2885315,36.8230419,726,801,411,490
84,23062,1796,3,Business,18,4,35136,18,4,35522,18,4,36287,18,4,37040,18,4,38401,11,23.25888921888938,-1.265715,36.823815,-1.331619,36.847976,710,1361,386,1518
85,8724,2987,3,Business,7,3,40378,7,3,40772,7,3,41473,7,3,41673,7,3,43022,8,25.2,-1.270212,36.8210877,-1.3271374,36.8495534,949,1349,394,901
86,23720,391,3,Business,23,2,46831,23,2,46850,23,2,47927,23,2,49643,23,2,49647,4,23.25888921888938,-1.2839729,36.8115146,-1.2867454,36.8259017,613,4,19,2793
87,5762,2150,3,Business,2,3,45502,2,3,45527,2,3,46278,2,3,46597,2,3,49516,23,24.0,-1.228911,36.881876,-1.344446,36.756597,75,2919,25,1070
88,21200,2358,4,Business,18,4,45298,18,4,45303,18,4,45407,18,4,46119,18,4,47266,12,25.5,-1.346286,36.768793,-1.293973,36.80169,622,1147,5,816
89,11711,1450,3,Personal,28,4,44826,28,4,44896,28,4,45674,28,4,45982,28,4,46901,3,23.25888921888938,-1.2995135,36.7933633,-1.2952784,36.7793271,124,919,70,1086
90,17131,393,3,Business,27,2,36794,27,2,38837,27,2,39299,27,2,40981,27,2,42829,14,23.6,-1.3177547,36.8303703,-1.306378,36.7519845,878,1848,2043,2144
91,27235,134,3,Business,28,4,54647,28,4,54683,28,4,55247,28,4,55507,28,4,56255,5,30.1,-1.2609745,36.7886626,-1.2743958,36.8215915,785,748,36,824
92,10820,1281,3,Business,25,2,38993,25,2,39147,25,2,39870,25,2,40766,25,2,44453,9,23.9,-1.2869041,36.8240057,-1.2706815,36.7646286,532,3687,154,1619
93,2255,419,3,Business,3,3,50052,3,3,50162,3,3,50185,3,3,52268,3,3,53092,7,26.7,-1.2886923,36.8241519,-1.2571472,36.7950633,6,824,110,2106
94,15634,3560,3,Business,24,5,54632,24,5,54730,24,5,54779,24,5,55063,24,5,60168,18,22.8,-1.3705766,36.9120742,-1.279395,36.825364,564,5105,98,333
95,13979,1578,3,Business,5,1,55254,5,1,55321,5,1,56583,5,1,56929,5,1,58416,5,25.8,-1.28878,36.8168312,-1.2597529,36.806629,795,1487,67,1608
96,14861,1187,1,Personal,17,1,38449,17,1,39189,17,1,40260,17,1,40790,17,1,42484,4,25.2,-1.3025958,36.8614441,-1.3302867,36.8542859,810,1694,740,1601
97,18800,1329,3,Business,13,1,55081,13,1,55375,13,1,56037,13,1,56237,13,1,57544,6,23.25888921888938,-1.273056,36.811298,-1.2370629,36.7981962,161,1307,294,862
98,26616,2523,3,Business,13,1,33195,13,1,33233,13,1,33508,13,1,33593,13,1,36214,20,23.25888921888938,-1.2551895,36.7822034,-1.3251247,36.8995926,190,2621,38,360
99,20962,3544,2,Personal,18,5,67958,18,5,70100,18,5,70939,18,5,72092,18,5,73288,4,19.3,-1.25537,36.7756,-1.271377,36.7884294,103,1196,2142,1992
100,11708,517,3,Business,30,4,36876,30,4,36905,30,4,37650,30,4,38844,30,4,39588,4,23.25888921888938,-1.3228003,36.8306435,-1.3004062,36.829741,349,744,29,1939
101,1567,186,3,Business,5,2,56228,5,2,56568,5,2,58152,5,2,58453,5,2,59817,6,27.7,-1.2571472,36.7950633,-1.2925919,36.8170577,85,1364,340,1885
102,23834,3621,3,Business,19,2,30926,19,2,30942,19,2,31134,19,2,31463,19,2,31791,4,21.3,-1.2836583,36.7886014,-1.2913246,36.8019522,247,328,16,521
103,26496,393,3,Business,8,5,38575,8,5,38621,8,5,38825,8,5,39117,8,5,40612,11,28.6,-1.3167113,36.8301563,-1.2638185,36.7930057,411,1495,46,496
104,9169,598,1,Business,19,2,60964,19,2,61115,19,2,61623,19,2,61898,19,2,63591,6,19.7,-1.2536042,36.8064895,-1.2668265,36.7680484,427,1693,151,783
105,1570,517,3,Business,29,3,36645,29,3,36726,29,3,37968,29,3,38344,29,3,40258,14,23.25888921888938,-1.3228003,36.8306435,-1.2991441,36.7528804,829,1914,81,1618
106,63,3621,3,Business,30,6,33337,30,6,33382,30,6,34126,30,6,34390,30,6,36443,9,23.25888921888938,-1.2836583,36.7886014,-1.3222535,36.8246176,508,2053,45,1008
107,12953,49,3,Business,27,4,53397,27,4,53762,27,4,54283,27,4,54519,27,4,56168,10,23.7,-1.2790196,36.8160867,-1.2906539,36.7523571,21,1649,365,757
108,15454,797,3,Business,18,3,28439,18,3,28453,18,3,28682,18,3,29033,18,3,31041,15,14.5,-1.2551895,36.7822034,-1.2686837,36.8891847,116,2008,14,580
109,15476,867,3,Business,18,2,41946,18,2,43991,18,2,44150,18,2,44886,18,2,46445,10,23.25888921888938,-1.2996533,36.8292629,-1.2991441,36.7528804,555,1559,2045,895
110,22769,247,3,Personal,27,4,52520,27,4,52586,27,4,53319,27,4,54195,27,4,54410,4,25.2,-1.2850644,36.8343657,-1.290026,36.8165275,531,215,66,1609
111,14296,2676,3,Business,18,1,49669,18,1,49952,18,1,51348,18,1,51576,18,1,53592,7,30.8,-1.3047473,36.830562,-1.2963097,36.7688221,448,2016,283,1624
112,23454,2587,3,Business,16,2,51906,16,2,54233,16,2,55354,16,2,55432,16,2,56484,6,23.25888921888938,-1.2765736,36.8513646,-1.28878,36.8168312,438,1052,2327,1199
113,19485,1761,3,Business,5,2,38562,5,2,39848,5,2,40401,5,2,40825,5,2,42804,17,23.8,-1.3339943,36.7263409,-1.2830989,36.8165739,952,1979,1286,977
114,11002,2030,3,Business,10,3,33963,10,3,34001,10,3,34008,10,3,34313,10,3,34689,2,21.7,-1.2963097,36.7688221,-1.2969741,36.7856612,438,376,38,312
115,25971,3548,1,Personal,20,4,40028,20,4,40271,20,4,42215,20,4,42375,20,4,44432,9,24.6,-1.3112755,36.7430611,-1.29817,36.8001417,482,2057,243,2104
116,19307,3647,3,Business,8,1,39626,8,1,39730,8,1,40398,8,1,40574,8,1,42790,16,27.7,-1.272639,36.794723,-1.2155671,36.8898931,245,2216,104,844
117,9727,2178,1,Personal,10,5,44008,10,5,44124,10,5,44557,10,5,44827,10,5,46138,6,19.1,-1.2998552,36.8187077,-1.2781391,36.8267148,249,1311,116,703
118,3145,3647,3,Business,11,4,59307,11,4,59369,11,4,61891,11,4,62437,11,4,64867,19,24.2,-1.272639,36.794723,-1.1940334,36.9187324,606,2430,62,3068
119,15827,1637,3,Business,5,1,56900,5,1,56907,5,1,57072,5,1,58347,5,1,59778,14,25.9,-1.2615888,36.7928732,-1.2283403,36.8822756,551,1431,7,1440
120,13369,3508,2,Personal,22,6,43526,22,6,43554,22,6,45013,22,6,46045,22,6,47633,8,21.2,-1.2755887,36.8742523,-1.2677646,36.8298466,408,1588,28,2491
121,11369,1573,1,Personal,4,1,70874,4,1,70893,4,1,71074,4,1,71489,4,1,71952,6,18.9,-1.273056,36.811298,-1.297657,36.7995692,116,463,19,596
122,26196,2332,1,Personal,25,3,50908,25,3,50919,25,3,52127,25,3,52305,25,3,53796,20,17.9,-1.215678,36.873872,-1.293393,36.790237,265,1491,11,1386
123,667,1151,2,Personal,4,2,37175,4,2,37228,4,2,38064,4,2,39284,4,2,40879,10,18.7,-1.311121,36.900472,-1.3233955,36.8562944,753,1595,53,2056
124,27885,2606,1,Personal,19,5,35196,19,5,35233,19,5,36006,19,5,36846,19,5,38590,8,20.0,-1.2528485,36.7953722,-1.2973949,36.816038,446,1744,37,1613
125,23420,2866,3,Business,4,1,47259,4,1,47307,4,1,47924,4,1,48341,4,1,49078,4,25.4,-1.2696183,36.8021778,-1.2551895,36.7822034,885,737,48,1034
126,6027,1469,3,Business,21,5,45718,21,5,46130,21,5,47355,21,5,48234,21,5,48250,4,22.9,-1.2571472,36.7950633,-1.2731645,36.7900343,793,16,412,2104
127,8737,346,3,Business,19,5,53000,19,5,53058,19,5,53813,19,5,54386,19,5,55405,6,23.25888921888938,-1.28878,36.8168312,-1.2527958,36.8003131,705,1019,58,1328
128,6699,1973,2,Personal,17,1,38857,17,1,38884,17,1,39338,17,1,39793,17,1,41114,7,25.2,-1.3034231,36.7650287,-1.2655477,36.8001682,328,1321,27,909
129,7095,265,3,Business,14,4,46637,14,4,48426,14,4,48779,14,4,49734,14,4,55264,48,27.8,-1.300921,36.828195,-1.0302254,37.0167793,102,5530,1789,1308
130,27892,3420,3,Business,7,5,53054,7,5,53596,7,5,54281,7,5,55256,7,5,57636,7,25.0,-1.265981,36.7936121,-1.3046007,36.8211743,726,2380,542,1660
131,4643,1500,3,Business,6,3,46155,6,3,46200,6,3,47615,6,3,48131,6,3,49552,8,22.6,-1.3004062,36.829741,-1.2638185,36.7930057,332,1421,45,1931
132,27447,2330,1,Business,28,5,60084,28,5,60136,28,5,63521,28,5,63982,28,5,66266,19,23.25888921888938,-1.254191,36.8099132,-1.185943,36.9276394,532,2284,52,3846
133,10974,1559,2,Personal,11,4,47584,11,4,47619,11,4,48498,11,4,49693,11,4,51408,14,26.7,-1.2514753,36.7870287,-1.2287936,36.826979,882,1715,35,2074
134,6460,868,3,Business,25,4,39823,25,4,39833,25,4,40088,25,4,40498,25,4,41268,7,23.25888921888938,-1.2628473,36.781805,-1.265715,36.823815,709,770,10,665
135,1855,2386,1,Personal,14,6,45146,14,6,45210,14,6,46175,14,6,46556,14,6,48216,6,17.6,-1.2965169,36.793522,-1.3186522,36.7699884,465,1660,64,1346
136,855,3725,2,Personal,6,4,61632,6,4,61652,6,4,61805,6,4,62061,6,4,63103,4,22.7,-1.2547349,36.8065138,-1.2731645,36.7900343,409,1042,20,409
137,2965,1995,3,Business,14,3,35519,14,3,35531,14,3,35880,14,3,36033,14,3,38161,22,18.6,-1.2551895,36.7822034,-1.3562374,36.9042954,793,2128,12,502
138,10339,3647,3,Business,20,1,36872,20,1,36926,20,1,38054,20,1,38142,20,1,40090,14,23.25888921888938,-1.3175925,36.8742349,-1.272639,36.794723,364,1948,54,1216
139,28104,3147,3,Business,2,2,49697,2,2,49753,2,2,52743,2,2,53122,2,2,55548,15,26.0,-1.3472066,36.7692638,-1.308106,36.86594,846,2426,56,3369
140,15326,84,3,Business,26,1,43477,26,1,44059,26,1,44651,26,1,45334,26,1,48024,9,22.9,-1.2551895,36.7822034,-1.3014461,36.7661381,607,2690,582,1275
141,27512,3510,1,Business,25,5,59838,25,5,60162,25,5,61480,25,5,62029,25,5,63447,6,21.1,-1.2472211,36.7826109,-1.2702719,36.7688649,888,1418,324,1867
142,15258,3525,3,Business,7,5,41239,7,5,41246,7,5,41464,7,5,42600,7,5,45057,21,24.9,-1.2551895,36.7822034,-1.3700383,36.9190174,828,2457,7,1354
143,14165,1205,3,Business,7,5,42079,7,5,42323,7,5,43634,7,5,44783,7,5,47178,5,25.6,-1.2810807,36.8144229,-1.299846,36.7940155,268,2395,244,2460
144,23852,2627,3,Business,28,1,44379,28,1,45206,28,1,46186,28,1,46722,28,1,48008,15,23.9,-1.2283403,36.8822756,-1.2571472,36.7950633,276,1286,827,1516
145,5478,1642,3,Business,5,1,42856,5,1,43560,5,1,44086,5,1,45987,5,1,46920,5,24.4,-1.2768982,36.8262879,-1.2728069,36.7962362,268,933,704,2427
146,383,633,3,Business,10,4,50827,10,4,50848,10,4,50872,10,4,51177,10,4,51889,5,25.4,-1.2770708,36.8231093,-1.3004062,36.829741,812,712,21,329
147,19533,3647,3,Business,5,3,40158,5,3,40246,5,3,40879,5,3,41169,5,3,44358,15,22.6,-1.272639,36.794723,-1.3194518,36.869396,547,3189,88,923
148,7197,2989,3,Business,18,4,56812,18,4,56907,18,4,56917,18,4,57106,18,4,58692,12,26.7,-1.3472066,36.7692638,-1.2793859,36.8218002,79,1586,95,199
149,7790,2521,3,Business,26,6,38014,26,6,38061,26,6,38718,26,6,38904,26,6,40636,14,26.0,-1.3167113,36.8301563,-1.306378,36.7519845,523,1732,47,843
150,2701,265,3,Business,27,2,45471,27,2,45958,27,2,46599,27,2,46860,27,2,48171,7,23.7,-1.300921,36.828195,-1.2595467,36.8113044,685,1311,487,902
151,27173,909,3,Business,14,2,53306,14,2,53306,14,2,53437,14,2,54095,14,2,56201,7,23.25888921888938,-1.2527958,36.8003131,-1.225322,36.80855,510,2106,0,789
